S.No.,Collection Year,Collection Month,Collection Date,City,Latitude,Longitude,Water Source,Depth of Water Level (m),Uranium concentration (µg/L),Error Term,Uranium Activity (Bq/L),Excess Cancer Risk (10^-4),LADD (µg/kg/day),Hazard Quotient (HQ)
1,1992,June,,Guru Nanak Dev University,31.634129,74.825806,Tap,90.00 ,18.77 ,,0.47,,,
2,1992,July,,Guru Nanak Dev University,31.634129,74.825806,Tap,90.00 ,20.23 ,,0.51,,,
3,1992,June,,Tehsilpura,31.632052,74.888139,Tap,90.00 ,18.54 ,,0.47,,,
4,1992,July,,Tehsilpura,31.632052,74.888139,Tap,90.00 ,17.87 ,,0.45,,,
5,1988,September,,Thermal Colony,30.241900,74.948460,Tap,90.00 ,56.79 ,,1.44,,,
6,1992,June,,Thermal Colony,30.241900,74.948460,Tap,90.00 ,35.37 ,,0.89,,,
7,1992,June,,Fertilizer Factory (Bhatinda),30.205977,74.895340,Hand Pump,10.00 ,14.45 ,,0.37,,,
8,1992,June,,Bathinda,30.212202,74.944595,Tap,90.00 ,12.92 ,,0.33,,,
9,1992,June,,Bathinda,30.212202,74.944595,Hand Pump,10.00 ,11.71 ,,0.30,,,
10,1992,June,,Bathinda,30.212202,74.944595,Tap,90.00 ,13.43 ,,0.34,,,
11,1992,June,,Bathinda,30.212202,74.944595,Hand Pump,10.00 ,25.20 ,,0.64,,,
12,1992,June,,Jodhpur Romana,30.151090,74.915146,Tubewell,60.00 ,58.43 ,,1.48,,,
13,1992,June,,Gobindpura,30.279250,75.015843,Tubewell,40.00 ,102.33 ,,2.59,,,
14,1992,June,,Bhucho Mandi,30.213222,75.090315,Tubewell,60.00 ,55.61 ,,1.41,,,
15,1992,June,,Village Kuina (Bathinda),30.210994,74.945475,Tubewell,40.00 ,113.70 ,,2.88,,,
16,,,,Moranwala,30.652688,74.341492,Tubewell,,103.13 ,,2.61,2.92 ,5.97 ,1.32 
17,,,,Kotha,31.107813,75.174452,Tubewell,,331.42 ,,8.38,9.39 ,19.18 ,4.23 
18,,,,Doomni Wala,30.938581,74.664562,Tubewell,,85.40 ,,2.16,2.42 ,4.91 ,1.09 
19,,,,Ch. Saido Ke,30.577752,74.318868,Tubewell,,123.09 ,,3.11,3.47 ,7.12 ,1.57 
20,,,,Jhari Wala,30.629433,74.371943,Tubewell,,104.40 ,,2.64,2.94 ,6.04 ,1.33 
21,,,,Tahli Wala,30.798744,74.514514,Tubewell,,140.48 ,,3.55,3.98 ,8.13 ,1.79 
22,,,,Shain Pari,31.057105,75.007906,Tubewell,,92.30 ,,2.34,2.61 ,5.34 ,1.18 
23,,,,Pondori Jattan,30.968597,75.047973,Tubewell,,82.90 ,,2.10,2.35 ,4.80 ,1.06 
