Year,State,District,Block/Taluka,Location/Site/Village,Latitude,Longitude,pH,EC (µS/cm),CO3 (mg/L),HCO3 (mg/L),Cl (mg/L),F (mg/L),SO4 (mg/L),NO3 (mg/L),PO4 (mg/L),Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),SiO2,TDS,Fe (ppm),As (ppb),U (ppb)
2023,Punjab,Amritsar,,Jagdev Khurd (Dalla),31.90700,74.73910,7.58,1233.00,0.00,476.00,92.00,0.61,19.00,2.00,0.00,380.00,96.00,34.00,65.00,14.00,,,1.11,35.90,0.57
2023,Punjab,Amritsar,,Laungo Mahal,31.90590,74.81890,7.96,683.00,0.00,415.00,35.00,0.62,0.00,0.00,0.00,200.00,40.00,24.00,87.00,6.00,,,0.04,54.06,3.77
2023,Punjab,Amritsar,,Makowal,31.90460,74.89040,8.20,412.00,0.00,254.00,21.00,0.56,0.00,0.00,0.00,180.00,32.00,24.00,21.00,7.00,,,0.05,44.44,3.04
2023,Punjab,Amritsar,,Malakpur,31.95340,74.84530,8.20,442.00,0.00,220.00,21.00,0.48,0.00,1.00,0.00,170.00,32.00,22.00,20.00,5.00,,,1.76,35.85,1.04
2023,Punjab,Amritsar,,Ramdas,31.96670,74.91110,8.10,373.00,0.00,238.00,14.00,0.83,0.00,0.00,0.00,110.00,24.00,12.00,47.00,4.00,,,0.05,36.31,0.11
2023,Punjab,Amritsar,,Sarangra (Nawankhuh),31.79270,74.81760,7.90,596.00,0.00,342.00,35.00,0.96,0.00,1.00,0.00,220.00,40.00,29.00,51.00,9.00,,,0.04,2.25,4.88
2023,Punjab,Amritsar,,Sazada,32.00540,74.89870,7.66,972.00,0.00,322.00,135.00,0.65,16.00,0.00,0.00,350.00,56.00,51.00,61.00,6.00,,,6.15,67.26,0.10
2023,Punjab,Amritsar,,Urdhan,74.86000,74.86000,8.15,455.00,0.00,284.00,14.00,0.76,0.00,0.00,0.00,150.00,40.00,12.00,42.00,7.00,,,0.04,60.03,3.95
2023,Punjab,Amritsar,,Bhindi Saidan,31.81100,74.64100,7.92,1855.00,0.00,610.00,106.00,1.10,287.00,1.00,0.00,300.00,56.00,39.00,311.00,9.00,,,3.01,24.52,0.11
2023,Punjab,Amritsar,,Boparai Baj Singh,31.64470,74.73930,7.88,1645.00,0.00,622.00,170.00,2.00,46.00,0.00,0.00,250.00,60.00,24.00,250.00,11.00,,,1.12,25.93,39.30
2023,Punjab,Amritsar,,Chogawan,31.70390,74.66510,7.76,1565.00,0.00,644.00,156.00,1.10,104.00,1.00,0.00,360.00,56.00,54.00,221.00,19.00,,,0.07,6.74,22.42
2023,Punjab,Amritsar,,Dala,31.67150,74.58940,8.05,1041.00,0.00,610.00,43.00,1.50,0.00,18.00,0.00,240.00,36.00,36.00,137.00,44.00,,,0.02,4.87,11.91
2023,Punjab,Amritsar,,Jai Ramkot,31.85330,74.67300,7.74,850.00,0.00,391.00,64.00,0.63,0.00,0.00,0.00,250.00,59.00,25.00,78.00,6.00,,,0.92,59.18,0.99
2023,Punjab,Amritsar,,Kakar,31.71830,74.54310,7.62,1127.00,0.00,488.00,121.00,0.62,0.00,1.00,0.00,310.00,68.00,34.00,125.00,10.00,,,0.81,36.05,13.44
2023,Punjab,Amritsar,,Kaulowal,31.64700,74.68340,7.86,822.00,0.00,439.00,35.00,0.98,11.00,0.00,0.00,280.00,19.00,56.00,68.00,10.00,,,0.79,3.36,8.64
2023,Punjab,Amritsar,,Lelian/Kowe,31.72080,74.59960,7.72,966.00,0.00,427.00,99.00,0.66,0.00,29.00,0.00,320.00,60.00,41.00,94.00,8.00,,,0.60,0.53,8.05
2023,Punjab,Amritsar,,Nurowal,31.79390,74.58710,8.15,388.00,0.00,207.00,21.00,0.72,0.00,0.00,0.00,120.00,28.00,12.00,38.00,5.00,,,0.04,11.19,3.88
